tagId,tagName
0,funny
1,Highly quotable
2,will ferrell
3,Boxing story
4,MMA
5,Tom Hardy
6,drugs
7,Leonardo DiCaprio
8,Martin Scorsese
9,way too long
10,Al Pacino
11,gangster
12,mafia
13,Mafia
14,holocaust
15,true story
16,twist ending
17,Anthony Hopkins
18,courtroom drama
19,britpop
20,indie record label
21,music
22,dumpster diving
23,Sustainability
24,romantic comedy
25,wedding
26,painter
27,bloody
28,black hole
29,sci-fi
30,time-travel
31,fantasy
32,magic board game
33,Robin Williams
34,beautiful scenery
35,epic
36,historical
37,inspirational
38,Medieval
39,mel gibson
40,Oscar (Best Cinematography)
41,revenge
42,sword fight
43,black comedy
44,Christina Ricci
45,Christopher Lloyd
46,dark comedy
47,family
48,gothic
49,Andy Garcia
50,Classic
51,Francis Ford Coppola
52,Family
53,quirky
54,Macaulay Culkin
55,sequel
56,animation
57,Disney
58,original
59,Pixar
60,Tom Hanks
61,ancient Rome
62,Epic
63,history
64,imdb top 250
65,Rome
66,Russell Crowe
67,Ed Harris
68,Jude Law
69,Rachel Weisz
70,sniper
71,World War II
72,atmospheric
73,Hilary Swank
74,violent
75,dogs
76,Eric Bana
77,mad scientist
78,marvel
79,captain nemo
80,comic book
81,Peta Wilson
82,Sean Connery
83,superhero
84,adventure
85,Angelina Jolie
86,heroine in tight suit
87,Adventure
88,ensemble cast
89,fantasy world
90,great soundtrack
91,lord of the rings
92,scenic
93,stylized
94,Tolkien
95,hilarious
96,Steve Carell
97,Will Ferrell
98,anime
99,cyberpunk
100,dark
101,Matrix
102,Jim Carrey
103,meryl streep
104,Adam Sandler
105,sweet
106,British gangster
107,confusing
108,daniel craig
109,Exquisite plotting.
110,organized crime
111,stylish
112,Hayao Miyazaki
113,Studio Ghibli
114,David Thewlis
115,Eva Green
116,Liam Neeson
117,Orlando Bloom
118,Chris Evans
119,Jessica Alba
120,sexy female scientist
121,helena bonham carter
122,Johnny Depp
123,Tim Burton
124,visually appealing
125,clever
126,fast-paced dialogue
127,good dialogue
128,Robert Downey Jr.
129,witty
130,Audrey Tautou
131,conspiracy theory
132,Mystery
133,Paris
134,treasure hunt
135,Brad Pitt
136,cate blanchett
137,multiple storylines
138,social commentary
139,Ben Stiller
140,emma thompson
141,Maggie Gyllenhaal
142,modern fantasy
143,romance
144,surreal
145,Marion Cotillard
146,Africa
147,corruption
148,Jennifer Connelly
149,justice
150,bad acting
151,bad jokes
152,bad plot
153,Marvel
154,Ryan Reynolds
155,lion
156,narnia
157,Tilda Swinton
158,bad script
159,Charlize Theron
160,Will Smith
161,Anne Hathaway
162,comedy
163,James Franco
164,Seth Rogen
165,Stoner Movie
166,audience intelligence underestimated
167,boring
168,chick flick
169,overrated
170,Teen movie
171,Adrien Brody
172,con artists
173,interesting characters
174,Mark Ruffalo
175,Bill Murray
176,Emma Stone
177,Jesse Eisenberg
178,Woody Harrelson
179,CGI
180,cheesy
181,DC
182,DC Comics
183,space
184,happy ending
185,HOT actress
186,Justin Timberlake
187,Mila Kunis
188,New York City
189,sex
190,Istanbul
191,predictable
192,Turkey
193,unnecessary sequel
194,action
195,Christoph Waltz
196,good soundtrack
197,Great performances
198,Humour
199,Quentin Tarantino
200,Samuel L. Jackson
201,Soundtrack
202,western
203,Amy Adams
204,daniel radcliffe
205,zoe kazan
206,stupid but funny
207,anti-intellectual
208,bad writing
209,dystopia
210,new society
211,plot holes
212,scifi
213,unintelligent
214,Seth MacFarlane
215,post-apocalyptic
216,survival
217,thriller
218,unexplained
219,weak plot
220,dark hero
221,gun-fu
222,Keanu Reeves
223,Revenge
224,secret society
225,dark humor
226,ironic
227,multiple short stories
228,short stories
229,bromance
230,Dr. Strange
231,Great villain
232,Guardians of the Galaxy
233,MCU
234,Thanos
235,Thor
236,Visually stunning
237,characters
238,Dialogue
239,humor
240,Kurt Russell
241,tension building
242,Western
243,Jennifer Lawrence
244,love story
245,nonsense
246,politics
247,rebellion
248,revolution
249,Ben Kingsley
250,ethics
251,immortality
252,ryan reynolds
253,Bad story
254,Bad writing
255,Batman
256,Ben Affleck
257,dc comics
258,Harley Quinn
259,Harley Quinn's ass
260,Horrible directing
261,Jared Leto
262,Joker
263,lack of plot
264,Margot Robbie
265,Poor story
266,poorly paced
267,batman
268,ben affleck
269,Gal Gadot
270,superman
271,wonderwoman
272,leonardo DiCarpio
273,tom hardy
274,building a family
275,creative
276,freedom
277,good writing
278,individualism
279,Viggo Mortensen
280,gun tactics
281,hitman
282,Dystopia
283,future
284,interesting
285,jon hamm
286,thought provoking
287,Action
288,Comedy
289,Dwayne Johnson
290,Rachel McAdams
291,Alicia Vikander
292,video game adaptation
293,Josh Brolin
294,sarcasm
295,Emilia Clarke
296,star wars
297,classic
298,space action
299,EPIC
300,non-linear
301,Everything you want is here
302,classic sci-fi
303,engrossing adventure
304,Nerd
305,stone age
306,killer
307,widows/widowers
308,kids
309,robots
310,murder
311,police
312,Kevin Costner
313,Post apocalyptic
314,irreverent
315,jay and silent bob
316,Kevin Smith
317,satire
318,based on a book
319,brutal
320,controversial
321,goretastic
322,violence
323,alternate reality
324,science fiction
325,time travel
326,Disturbing
327,great ending
328,mindfuck
329,surprise ending
330,suspense
331,cruel characters
332,brutality
333,threesome
334,Sexual Humor
335,embarassing scenes
336,offensive
337,R language
338,80's
339,Crude humor
340,Vulgar
341,sofia coppola
342,John Cusack
343,Ewan McGregor
344,Renee Zellweger
345,jackie chan
346,kung fu
347,Something for everyone in this one... saw it without and plan on seeing it with kids!
348,assassin
349,Jean Reno
350,assassin-in-training (scene)
351,espionage
352,Robert Ludlum
353,test tag
354,feel-good
355,fun family movie
356,very funny
357,black and white
358,Christopher Nolan
359,directorial debut
360,not linear
361,Twist Ending
362,hugh jackman
363,Mindfuck
364,nonlinear
365,psychology
366,alan rickman
367,harry potter
368,humorous
369,Magic
370,insomnia
371,thought-provoking
372,amazing artwork
373,end of the world
374,mecha
375,gintama
376,remaster
377,space epic
378,cult film
379,dreamlike
380,hallucinatory
381,psychological
382,sentimental
383,memory
384,cinematography
385,India
386,oldie but goodie
387,Star Wars
388,big wave
389,surfing
390,ummarti2006
391,high school
392,Notable Nudity
393,moldy
394,old
395,moving
396,a clever chef rat
397,hope
398,mathematics
399,zombies
400,DEPRESSING
401,stupid
402,Favelas
403,narrated
404,reciprocal spectator
405,documentary
406,Animation
407,Documentary
408,Henry Darger
409,the catholic church is the most corrupt organization in history
410,childish naivity
411,friendship
412,Bechdel Test:Fail
413,cartoon
414,children
415,computer animation
416,divorce
417,dreams
418,Narrative pisstake
419,american idolatry
420,Coen Brothers
421,Jeff Bridges
422,Matt Damon
423,celebrity fetishism
424,mediacentralism
425,system holism
426,city politics
427,italy
428,political right versus left
429,Creature Feature
430,music industry
431,remix culture
432,film history
433,poetic
434,representation of children
435,Disney animated feature
436,Oscar (Best Music - Original Score)
437,awesome
438,british comedy
439,pixar
440,knights
441,highschool
442,cult
443,boksdrama
444,stiller
445,wapendrama
446,sisters
447,ROBOTS AND ANDROIDS
448,post-college
449,restaurant
450,transvestite
451,Paul Rudd
452,quotable
453,seen more than once
454,Amazing Cinematography
455,shakespeare
456,updated classics
457,Atmospheric
458,Bruce Willis
459,ghosts
460,android(s)/cyborg(s)
461,artificial intelligence
462,Bittersweet
463,Steven Spielberg
464,Bette Davis
465,Oscar (Best Actress)
466,High School
467,lesbian subtext
468,undercover cop
469,Christian Bale
470,Casey Affleck
471,great performances
472,twist
473,ending
474,Morgan Freeman
475,political commentary
476,Afghanistan
477,American propaganda
478,assassination
479,military
480,terrorism
481,mystery
482,tricky
483,addiction
484,heroin
485,Mark Wahlberg
486,Nudity (Full Frontal)
487,cynical
488,independent film
489,space adventure
490,psychedelic
491,Tarantino
492,soundtrack
493,apocalypse
494,Arnold Schwarzenegger
495,nuclear war
496,Suspense
497,based on a true story
498,KIDNAPPING
499,Steve Buscemi
500,edward norton
501,freedom of expression
502,Monty Python
503,emotional
504,jack nicholson
505,archaeology
506,indiana jones
507,aliens
508,horror
509,space craft
510,SPACE TRAVEL
511,Alfred Hitchcock
512,suspenseful
513,tense
514,Sci-Fi
515,special effects
516,disturbing
517,Horror
518,masterpiece
519,Stanley Kubrick
520,Juliette Lewis
521,Robert De Niro
522,plot twist
523,mental illness
524,paranoid
525,crude humor
526,goofy
527,creepy
528,paranoia
529,scary
530,SNL
531,Nicolas Cage
532,martial arts
533,adult humor
534,free speech
535,parody
536,south park
537,Trey Parker
538,obsession
539,secrets
540,serial killer
541,asylum
542,Brittany Murphy
543,Mental Hospital
544,winona ryder
545,claustrophobic
546,stephen king
547,scifi cult
548,ben stiller
549,David Bowie
550,mindless one liners
551,jake gyllenhaal
552,high fantasy
553,mythology
554,tolkien
555,wizards
556,samurai
557,Rob Zombie
558,jim carrey
559,powerful ending
560,schizophrenia
561,lesbian
562,Jake Gyllenhaal
563,Modern war
564,Jack Nicholson
565,based on a play
566,Insanity
567,PTSD
568,claymation
569,dark fairy tale
570,Surreal
571,insanity
572,Psychological Thriller
573,stranded
574,alter ego
575,illusions
576,overcomplicated
577,stupid ending
578,absorbing
579,acting
580,Hugh Jackman
581,morality
582,uplifting
583,too long
584,Metaphorical
585,annoying
586,Stupid ending
587,Myth
588,Cambodia
589,crime
590,human rights
591,procedural
592,game
593,pregnancy
594,remake
595,president
596,Jane Austen
597,Hollywood
598,alcoholism
599,Shakespeare
600,In Netflix queue
601,kidnapping
602,teacher
603,Animal movie
604,pigs
605,death penalty
606,Nun
607,twins
608,Emma
609,South Africa
610,England
611,Journalism
612,heist
613,adoption
614,prostitution
615,writing
616,Jekyll and Hyde
617,theater
618,golf
619,muppets
620,Scotland
621,Holocaust
622,dating
623,journalism
624,moon
625,NASA
626,Michael Crichton
627,submarine
628,computers
629,Made me cry
630,generation X
631,school
632,Ireland
633,Stephen King
634,movie business
635,basketball
636,France
637,infertility
638,Australia
639,Beethoven
640,Einstein
641,court
642,darth vader
643,luke skywalker
644,space opera
645,Louisa May Alcott
646,Girl Power
647,Christmas
648,prison
649,disability
650,hit men
651,TV
652,Death
653,marriage
654,wrongful imprisonment
655,Enterprise
656,coma
657,weddings
658,cross dressing
659,men in drag
660,remade
661,Tom Clancy
662,John Grisham
663,interracial romance
664,shrimp
665,Vietnam
666,gambling
667,bus
668,spies
669,Edith Wharton
670,horses
671,President
672,based on a TV show
673,hula hoop
674,biopic
675,Dinosaur
676,Japan
677,sexuality
678,AIDs
679,radio
680,show business
681,Butler
682,Housekeeper
683,racism
684,football
685,chess
686,C.S. Lewis
687,large cast
688,race
689,Empire State Building
690,beat poetry
691,Halloween
692,adolescence
693,christmas
694,American Indians
695,Native Americans
696,Hannibal Lector
697,priest
698,babies
699,Gulf War
700,spoof
701,Bugs Bunny
702,Veterinarian
703,Aardman
704,Alcatraz
705,Disaster
706,Atomic bomb
707,drug abuse
708,adultery
709,Capote
710,falling
711,voyeurism
712,Screwball
713,Brooch
714,Mount Rushmore
715,start of a beautiful friendship
716,statue
717,George Bernard Shaw
718,rich guy - poor girl
719,Italy
720,royalty
721,1900s
