movieId,movieTitle,movieAlias,releaseDate,imdbId,tmdbId
1,Toy Story,,1995,114709.0,862.0
2,Jumanji,,1995,113497.0,8844.0
3,Grumpier Old Men,,1995,113228.0,15602.0
4,Waiting to Exhale,,1995,114885.0,31357.0
5,Father of the Bride Part II,,1995,113041.0,11862.0
6,Heat,,1995,113277.0,949.0
7,Sabrina,,1995,114319.0,11860.0
8,Tom and Huck,,1995,112302.0,45325.0
9,Sudden Death,,1995,114576.0,9091.0
10,GoldenEye,,1995,113189.0,710.0
11,The American President,,1995,112346.0,9087.0
12,Dracula: Dead and Loving It,,1995,112896.0,12110.0
13,Balto,,1995,112453.0,21032.0
14,Nixon,,1995,113987.0,10858.0
15,Cutthroat Island,,1995,112760.0,1408.0
16,Casino,,1995,112641.0,524.0
17,Sense and Sensibility,,1995,114388.0,4584.0
18,Four Rooms,,1995,113101.0,5.0
19,Ace Ventura: When Nature Calls,,1995,112281.0,9273.0
20,Money Train,,1995,113845.0,11517.0
21,Get Shorty,,1995,113161.0,8012.0
22,Copycat,,1995,112722.0,1710.0
23,Assassins,,1995,112401.0,9691.0
24,Powder,,1995,114168.0,12665.0
25,Leaving Las Vegas,,1995,113627.0,451.0
26,Othello,,1995,114057.0,16420.0
27,Now and Then,,1995,114011.0,9263.0
28,Persuasion,,1995,114117.0,17015.0
29,The City of Lost Children,"Cité des enfants perdus, La ",1995,112682.0,902.0
30,Shanghai Triad,Yao a yao yao dao waipo qiao ,1995,115012.0,37557.0
31,Dangerous Minds,,1995,112792.0,9909.0
32,Twelve Monkeys,a.k.a. 12 Monkeys ,1995,114746.0,63.0
34,Babe,,1995,112431.0,9598.0
36,Dead Man Walking,,1995,112818.0,687.0
38,It Takes Two,,1995,113442.0,33689.0
39,Clueless,,1995,112697.0,9603.0
40,the Beloved Country Cry,,1995,112749.0,34615.0
41,Richard III,,1995,114279.0,31174.0
42,Dead Presidents,,1995,112819.0,11443.0
43,Restoration,,1995,114272.0,35196.0
44,Mortal Kombat,,1995,113855.0,9312.0
45,To Die For,,1995,114681.0,577.0
46,How to Make an American Quilt,,1995,113347.0,11861.0
47,Seven,a.k.a. Se7en ,1995,114369.0,807.0
48,Pocahontas,,1995,114148.0,10530.0
49,When Night Is Falling,,1995,114916.0,8391.0
50,The Usual Suspects,,1995,114814.0,629.0
52,Mighty Aphrodite,,1995,113819.0,11448.0
53,Lamerica,,1994,110299.0,49133.0
54,The Big Green,,1995,112499.0,26441.0
55,Georgia,,1995,113158.0,97406.0
57,Home for the Holidays,,1995,113321.0,9089.0
58,The Postman,"Postino, Il ",1994,110877.0,11010.0
60,The Indian in the Cupboard,,1995,113419.0,11359.0
61,Eye for an Eye,,1996,116260.0,17182.0
62,Mr. Holland's Opus,,1995,113862.0,2054.0
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,,1996,116126.0,10607.0
64,Two if by Sea,,1996,118002.0,19760.0
65,Bio-Dome,,1996,115683.0,9536.0
66,Lawnmower Man 2: Beyond Cyberspace,,1996,116839.0,11525.0
68,French Twist,Gazon maudit ,1995,113149.0,4482.0
69,Friday,,1995,113118.0,10634.0
70,From Dusk Till Dawn,,1996,116367.0,755.0
71,Fair Game,,1995,113010.0,11859.0
72,Kicking and Screaming,,1995,113537.0,28387.0
73,Les Misérables,,1995,113828.0,48750.0
74,Bed of Roses,,1996,115644.0,20927.0
75,Big Bully,,1996,115676.0,36929.0
76,Screamers,,1995,114367.0,9102.0
77,Nico Icon,,1995,113973.0,124626.0
78,The Crossing Guard,,1995,112744.0,27526.0
79,The Juror,,1996,116731.0,9623.0
80,The White Balloon,Badkonake sefid ,1995,112445.0,46785.0
81,Things to Do in Denver When You're Dead,,1995,114660.0,400.0
82,Antonia's Line,Antonia ,1995,112379.0,880.0
83,Once Upon a Time... When We Were Colored,,1995,114039.0,146599.0
85,Angels and Insects,,1995,112365.0,8447.0
86,White Squall,,1996,118158.0,10534.0
87,Dunston Checks In,,1996,116151.0,17414.0
88,Black Sheep,,1996,115697.0,13997.0
89,Nick of Time,,1995,113972.0,2086.0
92,Mary Reilly,,1996,117002.0,9095.0
93,Vampire in Brooklyn,,1995,114825.0,12158.0
94,Beautiful Girls,,1996,115639.0,9283.0
95,Broken Arrow,,1996,115759.0,9208.0
96,In the Bleak Midwinter,,1995,113403.0,40154.0
97,Hate,"Haine, La ",1995,113247.0,406.0
99,Heidi Fleiss: Hollywood Madam,,1995,113283.0,63076.0
100,City Hall,,1996,115907.0,11062.0
101,Bottle Rocket,,1996,115734.0,13685.0
102,Mr. Wrong,,1996,117102.0,47475.0
103,Unforgettable,,1996,118040.0,2045.0
104,Happy Gilmore,,1996,116483.0,9614.0
105,The Bridges of Madison County,,1995,112579.0,688.0
106,Nobody Loves Me,Keiner liebt mich ,1994,110251.0,11907.0
107,Muppet Treasure Island,,1996,117110.0,10874.0
108,Catwalk,,1996,112646.0,89333.0
110,Braveheart,,1995,112573.0,197.0
111,Taxi Driver,,1976,75314.0,103.0
112,Rumble in the Bronx,Hont faan kui ,1995,113326.0,33542.0
113,Before and After,,1996,115645.0,43566.0
116,Anne Frank Remembered,,1995,112373.0,51352.0
117,The Young Poisoner's Handbook,,1995,115033.0,16934.0
118,If Lucy Fell,,1996,116606.0,10324.0
119,Steal Little Steal Big,,1995,114536.0,78406.0
121,The Boys of St. Vincent,,1992,106473.0,32119.0
122,Boomerang,,1992,103859.0,11066.0
123,Chungking Express,Chung Hing sam lam ,1994,109424.0,11104.0
125,Flirting With Disaster,,1996,116324.0,2074.0
126,The NeverEnding Story III,,1994,110647.0,27793.0
128,Jupiter's Wife,,1994,110217.0,290157.0
